ObjectID,Meter Number,Status,Pay By Cell Number,Meter_Hours,Parking_Facility_Name,Facility,Borough,On_Street,Side_of_Street,From_Street,To_Street,Latitude,Longitude,X,Y,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
5293,3493008,Active,311320,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,65 Street,S,14 Avenue,New Utrecht Avenue,40.6244811307565,-73.9992090541835,984469.562541053,166791.695337892,POINT (-73.999209054183 40.624481130757),17621,1,2,7,37
6199,3303003,Active,305831,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,Knickerbocker Avenue,E,Himrod Street,Stanhope Street,40.700066354746,-73.9204588280251,1006305.21703239,194339.527381226,POINT (-73.920458828025 40.700066354746),13828,42,2,37,53
2495,4173075,Active,467308,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,66 Road,N,102 Street,99 Street,40.7277602485511,-73.8542753904559,1024639.79650488,204452.837207064,POINT (-73.854275390456 40.727760248551),14785,40,3,28,70
13575,4373113,Active,451126,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,15 Avenue,N,120 Street,121 Street,40.7841801186787,-73.8474024995717,1026508.91251731,225011.644514561,POINT (-73.847402499572 40.784180118679),14191,22,3,20,67
12459,4833002,Active,469236,3HR Pas Mon-Sat 0700-2200,Steinway #1,Off Street,Queens,30 Avenue,S,Steinway Street,38 Street,40.763838355084,-73.9159903982234,1007521.9426173,217574.809650734,POINT (-73.915990398223 40.763838355084),16860,39,3,4,72
6603,3373009,Active,330853,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,Rutland Road,S,East 95 Street,East 96 Street,40.6636826036701,-73.9247054780495,1005139.09797356,181082.838999644,POINT (-73.924705478049 40.66368260367),17614,61,2,17,40
3614,4303079,Active,405691,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,247 Street,W,91 Avenue,Jamaica Avenue,40.7254855408337,-73.7213474508524,1061485.3425643,203713.340326473,POINT (-73.721347450852 40.725485540834),24335,63,3,16,63
4957,3179386,Active,309782,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,7 Avenue,E,6 Street,5 Street,40.6690100128285,-73.9797093775586,989878.815830141,183015.438808978,POINT (-73.979709377559 40.669010012829),17617,14,2,27,50
10643,1453260,Active,107384,3HR Com Mon-Fri 0700-1900,,On Street,Manhattan,Union Square E.,E,East 15 Street,East 16 Street,40.7357946088653,-73.989439176931,987176.741509885,207346.586668894,POINT (-73.989439176931 40.735794608865),11724,11,4,50,7
4145,3063199,Active,312985,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,Gravensend Neck Road,N,East 14 Street,East 15 Street,40.5947965759082,-73.956116309566,996437.306978226,155979.892814562,POINT (-73.956116309566 40.594796575908),13512,32,2,15,36
