parking_spot_id,type,parking_spot_name,address_zip,borough,detail,longitude,latitude,operation_hours
2102371-DCA,Business,1623 YORK AVENUE PARKING CORP,10028,Manhattan,"Vehicle Spaces: 126, Bicycle Spaces: 13",-73.94740158432163,40.77556660181236,unknown
2092453-DCA,Business,5 STARS PARKING INC,11206,Brooklyn,"Vehicle Spaces: 65, Bicycle Spaces: 7",-73.95021016045811,40.70370475326015,unknown
2098157-DCA,Business,257 GOLD STREET PARKING CORP.,11201,Brooklyn,"Vehicle Spaces: 150, Bicycle Spaces: 15",-73.98312248598508,40.697308000257486,unknown
2103110-DCA,Business,"IMPERIAL PARKING (U.S.), LLC",11249,Brooklyn,"Vehicle Spaces: 97, Bicycle Spaces: 9",-73.95600941561965,40.72046937937769,unknown
1341242-DCA,Business,605 PARKING CORP.,10065,Manhattan,"Vehicle Spaces: 50, Bicycle Spaces:",-73.96736886338482,40.76622814839984,unknown
2103292-DCA,Business,"ONE PARKING 709, INC.",11101,Queens,"Vehicle Spaces: 152, Bicycle Spaces: 16",-73.93813305548149,40.74864155389723,unknown
1058507-DCA,Business,53RD PARKING CORP.,10019,Manhattan,"Vehicle Spaces: 53, Bicycle Spaces: 5",-73.98515593959957,40.76435715460628,unknown
1010039-DCA,Business,300 PARKING INC.,10019,Manhattan,"Vehicle Spaces: 92, Bicycle Spaces: 9",-73.98425316337983,40.76559216853188,unknown
1247021-DCA,Business,GRAMERCY 24 PARKING LLC,10010,Manhattan,"Vehicle Spaces: 72, Bicycle Spaces: 7",-73.98083882067674,40.7379904753201,unknown
2055914-DCA,Business,560 W 43RD STREET PARKING CORP,10036,Manhattan,"Vehicle Spaces: 84, Bicycle Spaces: 8",-73.99721329557751,40.76036996597552,unknown
2044842-DCA,Business,333 EAST 75TH STREET PARKING CORP.,10021,Manhattan,"Vehicle Spaces: 25, Bicycle Spaces: 0",-73.95604143015696,40.77038266547137,unknown
1461227-DCA,Business,"IMPERIAL PARKING (U.S.), LLC",11433,Queens,"Vehicle Spaces: 601, Bicycle Spaces: 24",-73.7942555108603,40.70461582562189,unknown
2103294-DCA,Business,"ONE PARKING GOTHAM, INC.",11101,Queens,"Vehicle Spaces: 162, Bicycle Spaces: 16",-73.93913546814592,40.749641176473695,unknown
1083076,Street,,12421,Manhattan,On Street,-73.9765950135923,40.7875051180999,2HR Pas Mon-Sat 0900-1900
1443404,Street,,11722,Manhattan,On Street,-73.9869404709221,40.7461997160805,3HR Com Mon-Fri 0800-1800
2083108,Street,,11605,Bronx,On Street,-73.8648196544519,40.8801881926653,2 HR Pas Mon-Sat 0900-1900
2073094,Street,,11605,Bronx,On Street,-73.8751329565255,40.8793709288216,2 HR Pas Mon-Sat 0830-1900
1074872,Street,,10090,Manhattan,On Street,-73.9630186358349,40.7657058896101,2HR Pas Mon-Sat 0800-1900
4152157,Street,,16858,Queens,On Street,-73.9579941427178,40.741977164829,4HR Pas Mon-Sat 0800-2000
4103006,Street,,20532,Queens,On Street,-73.8367443961223,40.5790168979661,2 HR Pas Mon-Sat 0830-1900
4512447,Street,,14509,Queens,On Street,-73.8237940621526,40.7303918242166,2 HR Pas Mon-Fri 0730-1900
2083101,Street,,11605,Bronx,On Street,-73.8652698720662,40.8795897379535,2 HR Pas Mon-Sat 0900-1900
3123240,Street,,13515,Brooklyn,On Street,-74.0099926549206,40.6517575243549,2 HR Pas Mon-Sat 0800-1900
4103005,Street,,20532,Queens,On Street,-73.8369612122204,40.5793951915766,2 HR Pas Mon-Sat 0830-1900
1433480,Street,,12419,Manhattan,On Street,-73.9747769156357,40.7574675576099,3HR Com Mon-Fri 1000-1600 /5HR Pas Mon-Fri 1900-2400 /5HR Pas Sat 0800-2400
4152053,Street,,16858,Queens,On Street,-73.9443593529631,40.7464341654351,2 HR Pas Mon-Sat 0900-1900
1433474,Street,,12082,Manhattan,On Street,-73.9814761415726,40.7602885443977,3HR Com Mon-Fri 1000-1600 /5HR Pas Mon-Fri 1900-2400 /5HR Pas Sat 0800-2400
2303007,Street,,11271,Bronx,On Street,-73.8605413137173,40.8360036582082,2 HR Pas Mon-Sat 0900-1900
3853003,Street,,18184,Brooklyn,Off Street,-73.9707365070721,40.5765102322409,15 HR Pas Mon-Sat 0600-2200
3123238,Street,,13515,Brooklyn,On Street,-74.006879520588,40.655418120803,2 HR Pas Mon-Sat 0800-1900
4103001,Street,,20532,Queens,On Street,-73.8379718825924,40.5811291054744,2 HR Pas Mon-Sat 0830-1900
4103007,Street,,20532,Queens,On Street,-73.8365851594522,40.5787390647387,2 HR Pas Mon-Sat 0830-1900
3123235,Street,,13515,Brooklyn,On Street,-74.0052206788396,40.6570245113525,2 HR Pas Mon-Sat 0800-1900
4512454,Street,,14509,Queens,On Street,-73.8216921543905,40.726281359034,2 HR Pas Mon-Fri 0800-1900
1403172,Street,,12081,Manhattan,On Street,-73.9883834424054,40.7631997090279,3HR Com Mon-Sat 0700-1800 /6 HR Pas Sat 1800-2400
4103008,Street,,20532,Queens,On Street,-73.8364069392935,40.5784281081318,2 HR Pas Mon-Sat 0830-1900
4512458,Street,,14509,Queens,On Street,-73.8214051380297,40.7257207748411,2 HR Pas Mon-Fri 0800-1900
1074874,Street,,10090,Manhattan,On Street,-73.961595739656,40.7651011390631,2HR Pas Mon-Sat 0800-1900
2262734,Street,,11609,Bronx,On Street,-73.8981901072393,40.890572358031,4HR Pas Mon-Sat 0800-2000
3353028,Street,,17212,Brooklyn,On Street,-73.9655089166991,40.6934415849395,2 HR Pas Mon-Sat 0830-1900
2073097,Street,,11605,Bronx,On Street,-73.8746560678748,40.879337803407,2 HR Pas Mon-Sat 0900-1900
4443180,Street,,24013,Queens,On Street,-73.839227682958,40.6794810819472,2 HR Pas Mon-Sat 0900-1900
4153033,Street,,16858,Queens,On Street,-73.9601022363564,40.7419692101142,2 HR Pas Mon-Sat 0900-1900
2262733,Street,,11609,Bronx,On Street,-73.8984297276812,40.8905800872828,4HR Pas Mon-Sat 0800-2000
